'Time and date',Temporary,EEG Fpz-Cz
'[16:13:11.640 24/04/1989]',32.914,32.914
'[16:13:11.650 24/04/1989]',29.82,29.82
'[16:13:11.660 24/04/1989]',26.444,26.444
'[16:13:11.670 24/04/1989]',23.443,23.443
'[16:13:11.680 24/04/1989]',26.913,26.913
'[16:13:11.690 24/04/1989]',23.443,23.443
'[16:13:11.700 24/04/1989]',15.473,15.473
'[16:13:11.710 24/04/1989]',12.003,12.003
'[16:13:11.720 24/04/1989]',17.723,17.723
'[16:13:11.730 24/04/1989]',13.128,13.128
'[16:13:11.740 24/04/1989]',10.971,10.971
'[16:13:11.750 24/04/1989]',6.001,6.001
'[16:13:11.760 24/04/1989]',1.875,1.875
'[16:13:11.770 24/04/1989]',-7.689,7.689
'[16:13:11.780 24/04/1989]',-4.407,4.407
'[16:13:11.790 24/04/1989]',5.158,5.158
'[16:13:11.800 24/04/1989]',-7.971,7.971
'[16:13:11.810 24/04/1989]',2.157,2.157
'[16:13:11.820 24/04/1989]',-6.752,6.752
'[16:13:11.830 24/04/1989]',-10.221,10.221
'[16:13:11.840 24/04/1989]',-7.127,7.127
'[16:13:11.850 24/04/1989]',-8.252,8.252
'[16:13:11.860 24/04/1989]',-5.814,5.814
'[16:13:11.870 24/04/1989]',-3.657,3.657
'[16:13:11.880 24/04/1989]',-9.752,9.752
'[16:13:11.890 24/04/1989]',-7.783,7.783
'[16:13:11.900 24/04/1989]',-2.063,2.063
'[16:13:11.910 24/04/1989]',-3.001,3.001
'[16:13:11.920 24/04/1989]',-1.782,1.782
'[16:13:11.930 24/04/1989]',-9.659,9.659
'[16:13:11.940 24/04/1989]',-17.348,17.348
'[16:13:11.950 24/04/1989]',-25.037,25.037
'[16:13:11.960 24/04/1989]',-26.069,26.069
'[16:13:11.970 24/04/1989]',-16.41,16.41
'[16:13:11.980 24/04/1989]',-12.659,12.659
'[16:13:11.990 24/04/1989]',-14.16,14.16
'[16:13:12.000 24/04/1989]',-22.787,22.787
'[16:13:12.010 24/04/1989]',-15.66,15.66
'[16:13:12.020 24/04/1989]',-4.595,4.595
'[16:13:12.030 24/04/1989]',-27.663,27.663
'[16:13:12.040 24/04/1989]',-24.568,24.568
'[16:13:12.050 24/04/1989]',-26.163,26.163
'[16:13:12.060 24/04/1989]',-26.256,26.256
'[16:13:12.070 24/04/1989]',-28.882,28.882
'[16:13:12.080 24/04/1989]',-30.007,30.007
'[16:13:12.090 24/04/1989]',-29.351,29.351
'[16:13:12.100 24/04/1989]',-23.725,23.725
'[16:13:12.110 24/04/1989]',-33.196,33.196
'[16:13:12.120 24/04/1989]',-29.82,29.82
'[16:13:12.130 24/04/1989]',-25.881,25.881
'[16:13:12.140 24/04/1989]',-22.224,22.224
'[16:13:12.150 24/04/1989]',-22.974,22.974
'[16:13:12.160 24/04/1989]',-29.163,29.163
'[16:13:12.170 24/04/1989]',-30.007,30.007
'[16:13:12.180 24/04/1989]',-26.725,26.725
'[16:13:12.190 24/04/1989]',-29.445,29.445
'[16:13:12.200 24/04/1989]',-24.1,24.1
'[16:13:12.210 24/04/1989]',-33.383,33.383
'[16:13:12.220 24/04/1989]',-31.133,31.133
'[16:13:12.230 24/04/1989]',-26.632,26.632
'[16:13:12.240 24/04/1989]',-24.568,24.568
'[16:13:12.250 24/04/1989]',-18.755,18.755
'[16:13:12.260 24/04/1989]',-15.097,15.097
'[16:13:12.270 24/04/1989]',-18.004,18.004
'[16:13:12.280 24/04/1989]',-22.881,22.881
'[16:13:12.290 24/04/1989]',-17.16,17.16
'[16:13:12.300 24/04/1989]',-10.784,10.784
'[16:13:12.310 24/04/1989]',-11.534,11.534
'[16:13:12.320 24/04/1989]',-15.097,15.097
'[16:13:12.330 24/04/1989]',-13.128,13.128
'[16:13:12.340 24/04/1989]',-9.096,9.096
'[16:13:12.350 24/04/1989]',-5.158,5.158
'[16:13:12.360 24/04/1989]',-8.721,8.721
'[16:13:12.370 24/04/1989]',-10.315,10.315
'[16:13:12.380 24/04/1989]',-15.379,15.379
'[16:13:12.390 24/04/1989]',-19.317,19.317
'[16:13:12.400 24/04/1989]',-29.82,29.82
'[16:13:12.410 24/04/1989]',-36.947,36.947
'[16:13:12.420 24/04/1989]',-21.568,21.568
'[16:13:12.430 24/04/1989]',-33.008,33.008
'[16:13:12.440 24/04/1989]',-31.977,31.977
'[16:13:12.450 24/04/1989]',-34.884,34.884
'[16:13:12.460 24/04/1989]',-33.664,33.664
'[16:13:12.470 24/04/1989]',-34.321,34.321
'[16:13:12.480 24/04/1989]',-24.381,24.381
'[16:13:12.490 24/04/1989]',-29.914,29.914
'[16:13:12.500 24/04/1989]',-32.352,32.352
'[16:13:12.510 24/04/1989]',-29.445,29.445
'[16:13:12.520 24/04/1989]',-34.696,34.696
'[16:13:12.530 24/04/1989]',-40.041,40.041
'[16:13:12.540 24/04/1989]',-33.196,33.196
'[16:13:12.550 24/04/1989]',-25.881,25.881
'[16:13:12.560 24/04/1989]',-31.508,31.508
'[16:13:12.570 24/04/1989]',-32.352,32.352
'[16:13:12.580 24/04/1989]',-25.412,25.412
'[16:13:12.590 24/04/1989]',-46.324,46.324
'[16:13:12.600 24/04/1989]',-27.1,27.1
'[16:13:12.610 24/04/1989]',-21.099,21.099
'[16:13:12.620 24/04/1989]',-28.038,28.038
'[16:13:12.630 24/04/1989]',-25.788,25.788
'[16:13:12.640 24/04/1989]',-16.504,16.504
'[16:13:12.650 24/04/1989]',-24.287,24.287
'[16:13:12.660 24/04/1989]',-19.692,19.692
'[16:13:12.670 24/04/1989]',-18.848,18.848
'[16:13:12.680 24/04/1989]',-18.379,18.379
'[16:13:12.690 24/04/1989]',-20.63,20.63
'[16:13:12.700 24/04/1989]',-20.349,20.349
'[16:13:12.710 24/04/1989]',-23.537,23.537
'[16:13:12.720 24/04/1989]',-23.725,23.725
'[16:13:12.730 24/04/1989]',-19.974,19.974
'[16:13:12.740 24/04/1989]',-24.475,24.475
'[16:13:12.750 24/04/1989]',-26.069,26.069
'[16:13:12.760 24/04/1989]',-27.757,27.757
'[16:13:12.770 24/04/1989]',-22.13,22.13
'[16:13:12.780 24/04/1989]',-27.944,27.944
'[16:13:12.790 24/04/1989]',-26.632,26.632
'[16:13:12.800 24/04/1989]',-31.039,31.039
'[16:13:12.810 24/04/1989]',-33.571,33.571
'[16:13:12.820 24/04/1989]',-29.351,29.351
'[16:13:12.830 24/04/1989]',-29.632,29.632
'[16:13:12.840 24/04/1989]',-15.941,15.941
'[16:13:12.850 24/04/1989]',-32.258,32.258
'[16:13:12.860 24/04/1989]',-20.255,20.255
'[16:13:12.870 24/04/1989]',-18.848,18.848
'[16:13:12.880 24/04/1989]',-22.505,22.505
'[16:13:12.890 24/04/1989]',-14.91,14.91
'[16:13:12.900 24/04/1989]',-14.535,14.535
'[16:13:12.910 24/04/1989]',-12.284,12.284
'[16:13:12.920 24/04/1989]',-13.503,13.503
'[16:13:12.930 24/04/1989]',-20.724,20.724
'[16:13:12.940 24/04/1989]',-23.537,23.537
'[16:13:12.950 24/04/1989]',-24.475,24.475
'[16:13:12.960 24/04/1989]',-21.474,21.474
'[16:13:12.970 24/04/1989]',-22.13,22.13
'[16:13:12.980 24/04/1989]',-19.505,19.505
'[16:13:12.990 24/04/1989]',-18.848,18.848
'[16:13:13.000 24/04/1989]',-17.442,17.442
'[16:13:13.010 24/04/1989]',-20.818,20.818
'[16:13:13.020 24/04/1989]',-11.815,11.815
'[16:13:13.030 24/04/1989]',-12.472,12.472
'[16:13:13.040 24/04/1989]',-6.377,6.377
'[16:13:13.050 24/04/1989]',-13.878,13.878
'[16:13:13.060 24/04/1989]',-20.255,20.255
'[16:13:13.070 24/04/1989]',-13.128,13.128
'[16:13:13.080 24/04/1989]',-15.566,15.566
'[16:13:13.090 24/04/1989]',-11.722,11.722
'[16:13:13.100 24/04/1989]',-12.941,12.941
'[16:13:13.110 24/04/1989]',-10.034,10.034
'[16:13:13.120 24/04/1989]',-4.97,4.97
'[16:13:13.130 24/04/1989]',-2.438,2.438
'[16:13:13.140 24/04/1989]',-4.876,4.876
'[16:13:13.150 24/04/1989]',-9.096,9.096
'[16:13:13.160 24/04/1989]',0.656,0.656
'[16:13:13.170 24/04/1989]',1.219,1.219
'[16:13:13.180 24/04/1989]',4.782,4.782
'[16:13:13.190 24/04/1989]',5.064,5.064
'[16:13:13.200 24/04/1989]',2.907,2.907
'[16:13:13.210 24/04/1989]',8.346,8.346
'[16:13:13.220 24/04/1989]',2.532,2.532
'[16:13:13.230 24/04/1989]',1.688,1.688
'[16:13:13.240 24/04/1989]',2.344,2.344
'[16:13:13.250 24/04/1989]',1.782,1.782
'[16:13:13.260 24/04/1989]',7.596,7.596
'[16:13:13.270 24/04/1989]',-4.22,4.22
'[16:13:13.280 24/04/1989]',1.219,1.219
'[16:13:13.290 24/04/1989]',7.314,7.314
'[16:13:13.300 24/04/1989]',7.221,7.221
'[16:13:13.310 24/04/1989]',7.971,7.971
'[16:13:13.320 24/04/1989]',8.252,8.252
'[16:13:13.330 24/04/1989]',4.501,4.501
'[16:13:13.340 24/04/1989]',6.283,6.283
'[16:13:13.350 24/04/1989]',4.126,4.126
'[16:13:13.360 24/04/1989]',8.533,8.533
'[16:13:13.370 24/04/1989]',3.563,3.563
'[16:13:13.380 24/04/1989]',1.5,1.5
'[16:13:13.390 24/04/1989]',9.284,9.284
'[16:13:13.400 24/04/1989]',1.125,1.125
'[16:13:13.410 24/04/1989]',4.032,4.032
'[16:13:13.420 24/04/1989]',6.377,6.377
'[16:13:13.430 24/04/1989]',7.596,7.596
'[16:13:13.440 24/04/1989]',11.44,11.44
'[16:13:13.450 24/04/1989]',9.565,9.565
'[16:13:13.460 24/04/1989]',9.284,9.284
'[16:13:13.470 24/04/1989]',14.441,14.441
'[16:13:13.480 24/04/1989]',14.91,14.91
'[16:13:13.490 24/04/1989]',14.441,14.441
'[16:13:13.500 24/04/1989]',5.626,5.626
'[16:13:13.510 24/04/1989]',8.627,8.627
'[16:13:13.520 24/04/1989]',9.846,9.846
'[16:13:13.530 24/04/1989]',-2.251,2.251
'[16:13:13.540 24/04/1989]',-0.469,0.469
'[16:13:13.550 24/04/1989]',-0.281,0.281
'[16:13:13.560 24/04/1989]',2.251,2.251
'[16:13:13.570 24/04/1989]',6.845,6.845
'[16:13:13.580 24/04/1989]',5.72,5.72
'[16:13:13.590 24/04/1989]',4.876,4.876
'[16:13:13.600 24/04/1989]',7.221,7.221
'[16:13:13.610 24/04/1989]',6.283,6.283
'[16:13:13.620 24/04/1989]',10.315,10.315
'[16:13:13.630 24/04/1989]',15.566,15.566
'[16:13:13.640 24/04/1989]',5.439,5.439
'[16:13:13.650 24/04/1989]',3.845,3.845
'[16:13:13.660 24/04/1989]',10.878,10.878
'[16:13:13.670 24/04/1989]',15.66,15.66
'[16:13:13.680 24/04/1989]',9.096,9.096
'[16:13:13.690 24/04/1989]',7.877,7.877
'[16:13:13.700 24/04/1989]',12.753,12.753
'[16:13:13.710 24/04/1989]',16.598,16.598
'[16:13:13.720 24/04/1989]',10.503,10.503
'[16:13:13.730 24/04/1989]',4.689,4.689
'[16:13:13.740 24/04/1989]',6.939,6.939
'[16:13:13.750 24/04/1989]',8.44,8.44
'[16:13:13.760 24/04/1989]',12.378,12.378
'[16:13:13.770 24/04/1989]',13.785,13.785
'[16:13:13.780 24/04/1989]',8.627,8.627
'[16:13:13.790 24/04/1989]',10.69,10.69
'[16:13:13.800 24/04/1989]',4.595,4.595
'[16:13:13.810 24/04/1989]',9.284,9.284
'[16:13:13.820 24/04/1989]',6.189,6.189
'[16:13:13.830 24/04/1989]',0.656,0.656
'[16:13:13.840 24/04/1989]',2.157,2.157
'[16:13:13.850 24/04/1989]',-0.469,0.469
'[16:13:13.860 24/04/1989]',-4.595,4.595
'[16:13:13.870 24/04/1989]',-1.125,1.125
'[16:13:13.880 24/04/1989]',-4.22,4.22
'[16:13:13.890 24/04/1989]',-7.033,7.033
'[16:13:13.900 24/04/1989]',0.281,0.281
'[16:13:13.910 24/04/1989]',-1.5,1.5
'[16:13:13.920 24/04/1989]',7.033,7.033
'[16:13:13.930 24/04/1989]',-0.469,0.469
'[16:13:13.940 24/04/1989]',-6.939,6.939
'[16:13:13.950 24/04/1989]',-3.001,3.001
'[16:13:13.960 24/04/1989]',-5.908,5.908
'[16:13:13.970 24/04/1989]',-8.44,8.44
'[16:13:13.980 24/04/1989]',-0.844,0.844
'[16:13:13.990 24/04/1989]',-14.91,14.91
'[16:13:14.000 24/04/1989]',-9.284,9.284
'[16:13:14.010 24/04/1989]',-11.347,11.347
'[16:13:14.020 24/04/1989]',-10.315,10.315
'[16:13:14.030 24/04/1989]',-11.909,11.909
'[16:13:14.040 24/04/1989]',-5.533,5.533
'[16:13:14.050 24/04/1989]',-2.532,2.532
'[16:13:14.060 24/04/1989]',-1.782,1.782
'[16:13:14.070 24/04/1989]',-5.064,5.064
'[16:13:14.080 24/04/1989]',-1.875,1.875
'[16:13:14.090 24/04/1989]',0.656,0.656
'[16:13:14.100 24/04/1989]',4.032,4.032
'[16:13:14.110 24/04/1989]',6.564,6.564
'[16:13:14.120 24/04/1989]',12.753,12.753
'[16:13:14.130 24/04/1989]',2.719,2.719
'[16:13:14.140 24/04/1989]',2.438,2.438
'[16:13:14.150 24/04/1989]',6.564,6.564
'[16:13:14.160 24/04/1989]',5.908,5.908
'[16:13:14.170 24/04/1989]',16.785,16.785
'[16:13:14.180 24/04/1989]',5.626,5.626
'[16:13:14.190 24/04/1989]',15.004,15.004
'[16:13:14.200 24/04/1989]',31.977,31.977
'[16:13:14.210 24/04/1989]',3.188,3.188
'[16:13:14.220 24/04/1989]',6.564,6.564
'[16:13:14.230 24/04/1989]',7.783,7.783
'[16:13:14.240 24/04/1989]',10.971,10.971
'[16:13:14.250 24/04/1989]',7.689,7.689
'[16:13:14.260 24/04/1989]',1.594,1.594
'[16:13:14.270 24/04/1989]',5.064,5.064
'[16:13:14.280 24/04/1989]',-1.969,1.969
'[16:13:14.290 24/04/1989]',-4.689,4.689
'[16:13:14.300 24/04/1989]',-3.095,3.095
'[16:13:14.310 24/04/1989]',-6.283,6.283
'[16:13:14.320 24/04/1989]',-3.001,3.001
'[16:13:14.330 24/04/1989]',-10.034,10.034
'[16:13:14.340 24/04/1989]',-2.157,2.157
'[16:13:14.350 24/04/1989]',-1.219,1.219
'[16:13:14.360 24/04/1989]',0,0
'[16:13:14.370 24/04/1989]',3.282,3.282
'[16:13:14.380 24/04/1989]',0.375,0.375
'[16:13:14.390 24/04/1989]',1.688,1.688
'[16:13:14.400 24/04/1989]',-3.845,3.845
'[16:13:14.410 24/04/1989]',1.407,1.407
'[16:13:14.420 24/04/1989]',4.032,4.032
'[16:13:14.430 24/04/1989]',8.346,8.346
'[16:13:14.440 24/04/1989]',-7.221,7.221
'[16:13:14.450 24/04/1989]',-1.782,1.782
'[16:13:14.460 24/04/1989]',0.094,0.094
'[16:13:14.470 24/04/1989]',1.125,1.125
'[16:13:14.480 24/04/1989]',-10.971,10.971
'[16:13:14.490 24/04/1989]',-6.939,6.939
'[16:13:14.500 24/04/1989]',-5.626,5.626
'[16:13:14.510 24/04/1989]',0.656,0.656
'[16:13:14.520 24/04/1989]',-4.97,4.97
'[16:13:14.530 24/04/1989]',-3.751,3.751
'[16:13:14.540 24/04/1989]',-1.969,1.969
'[16:13:14.550 24/04/1989]',2.719,2.719
'[16:13:14.560 24/04/1989]',0.188,0.188
'[16:13:14.570 24/04/1989]',-7.221,7.221
'[16:13:14.580 24/04/1989]',1.875,1.875
'[16:13:14.590 24/04/1989]',6.939,6.939
'[16:13:14.600 24/04/1989]',7.221,7.221
'[16:13:14.610 24/04/1989]',8.533,8.533
'[16:13:14.620 24/04/1989]',8.346,8.346
'[16:13:14.630 24/04/1989]',9.19,9.19
'[16:13:14.640 24/04/1989]',-1.875,1.875
'[16:13:14.650 24/04/1989]',-0.844,0.844
'[16:13:14.660 24/04/1989]',0.188,0.188
'[16:13:14.670 24/04/1989]',-1.875,1.875
'[16:13:14.680 24/04/1989]',1.219,1.219
'[16:13:14.690 24/04/1989]',2.626,2.626
'[16:13:14.700 24/04/1989]',-8.908,8.908
'[16:13:14.710 24/04/1989]',-8.627,8.627
'[16:13:14.720 24/04/1989]',-9.846,9.846
'[16:13:14.730 24/04/1989]',-10.784,10.784
'[16:13:14.740 24/04/1989]',-9.19,9.19
'[16:13:14.750 24/04/1989]',-11.909,11.909
'[16:13:14.760 24/04/1989]',-10.221,10.221
'[16:13:14.770 24/04/1989]',-5.439,5.439
'[16:13:14.780 24/04/1989]',-3.563,3.563
'[16:13:14.790 24/04/1989]',-14.441,14.441
'[16:13:14.800 24/04/1989]',-6.564,6.564
'[16:13:14.810 24/04/1989]',-23.912,23.912
'[16:13:14.820 24/04/1989]',-45.011,45.011
'[16:13:14.830 24/04/1989]',-60.765,60.765
'[16:13:14.840 24/04/1989]',-60.765,60.765
'[16:13:14.850 24/04/1989]',-62.171,62.171
'[16:13:14.860 24/04/1989]',-60.108,60.108
'[16:13:14.870 24/04/1989]',-60.108,60.108
'[16:13:14.880 24/04/1989]',-53.638,53.638
'[16:13:14.890 24/04/1989]',-45.199,45.199
'[16:13:14.900 24/04/1989]',-36.853,36.853
'[16:13:14.910 24/04/1989]',-25.131,25.131
'[16:13:14.920 24/04/1989]',-16.785,16.785
'[16:13:14.930 24/04/1989]',-10.596,10.596
'[16:13:14.940 24/04/1989]',6.377,6.377
'[16:13:14.950 24/04/1989]',11.159,11.159
'[16:13:14.960 24/04/1989]',21.755,21.755
'[16:13:14.970 24/04/1989]',21.38,21.38
'[16:13:14.980 24/04/1989]',18.192,18.192
'[16:13:14.990 24/04/1989]',20.442,20.442
'[16:13:15.000 24/04/1989]',21.568,21.568
'[16:13:15.010 24/04/1989]',13.41,13.41
'[16:13:15.020 24/04/1989]',18.473,18.473
'[16:13:15.030 24/04/1989]',25.788,25.788
'[16:13:15.040 24/04/1989]',28.319,28.319
'[16:13:15.050 24/04/1989]',35.446,35.446
'[16:13:15.060 24/04/1989]',28.132,28.132
'[16:13:15.070 24/04/1989]',27.944,27.944
'[16:13:15.080 24/04/1989]',25.037,25.037
'[16:13:15.090 24/04/1989]',23.068,23.068
'[16:13:15.100 24/04/1989]',24.85,24.85
'[16:13:15.110 24/04/1989]',32.914,32.914
'[16:13:15.120 24/04/1989]',31.414,31.414
'[16:13:15.130 24/04/1989]',35.54,35.54
'[16:13:15.140 24/04/1989]',28.507,28.507
'[16:13:15.150 24/04/1989]',28.507,28.507
'[16:13:15.160 24/04/1989]',27.382,27.382
'[16:13:15.170 24/04/1989]',20.255,20.255
'[16:13:15.180 24/04/1989]',20.255,20.255
'[16:13:15.190 24/04/1989]',18.848,18.848
'[16:13:15.200 24/04/1989]',22.599,22.599
'[16:13:15.210 24/04/1989]',19.692,19.692
'[16:13:15.220 24/04/1989]',26.163,26.163
'[16:13:15.230 24/04/1989]',21.662,21.662
'[16:13:15.240 24/04/1989]',18.098,18.098
'[16:13:15.250 24/04/1989]',15.848,15.848
'[16:13:15.260 24/04/1989]',18.473,18.473
'[16:13:15.270 24/04/1989]',17.911,17.911
'[16:13:15.280 24/04/1989]',18.848,18.848
'[16:13:15.290 24/04/1989]',24.006,24.006
'[16:13:15.300 24/04/1989]',23.631,23.631
'[16:13:15.310 24/04/1989]',18.661,18.661
'[16:13:15.320 24/04/1989]',23.256,23.256
'[16:13:15.330 24/04/1989]',29.07,29.07
'[16:13:15.340 24/04/1989]',29.07,29.07
'[16:13:15.350 24/04/1989]',32.914,32.914
'[16:13:15.360 24/04/1989]',20.536,20.536
'[16:13:15.370 24/04/1989]',27.288,27.288
'[16:13:15.380 24/04/1989]',27.944,27.944
'[16:13:15.390 24/04/1989]',22.881,22.881
'[16:13:15.400 24/04/1989]',19.599,19.599
'[16:13:15.410 24/04/1989]',14.629,14.629
'[16:13:15.420 24/04/1989]',16.504,16.504
'[16:13:15.430 24/04/1989]',18.661,18.661
'[16:13:15.440 24/04/1989]',14.347,14.347
'[16:13:15.450 24/04/1989]',20.818,20.818
'[16:13:15.460 24/04/1989]',18.004,18.004
'[16:13:15.470 24/04/1989]',22.974,22.974
'[16:13:15.480 24/04/1989]',24.944,24.944
'[16:13:15.490 24/04/1989]',26.913,26.913
'[16:13:15.500 24/04/1989]',17.911,17.911
'[16:13:15.510 24/04/1989]',17.536,17.536
'[16:13:15.520 24/04/1989]',19.505,19.505
'[16:13:15.530 24/04/1989]',23.068,23.068
'[16:13:15.540 24/04/1989]',32.07,32.07
'[16:13:15.550 24/04/1989]',21.474,21.474
'[16:13:15.560 24/04/1989]',21.193,21.193
'[16:13:15.570 24/04/1989]',25.412,25.412
'[16:13:15.580 24/04/1989]',25.788,25.788
'[16:13:15.590 24/04/1989]',16.598,16.598
'[16:13:15.600 24/04/1989]',19.786,19.786
'[16:13:15.610 24/04/1989]',18.848,18.848
'[16:13:15.620 24/04/1989]',15.191,15.191
'[16:13:15.630 24/04/1989]',16.316,16.316
'[16:13:15.640 24/04/1989]',17.911,17.911
'[16:13:15.650 24/04/1989]',13.503,13.503
'[16:13:15.660 24/04/1989]',11.253,11.253
'[16:13:15.670 24/04/1989]',9.94,9.94
'[16:13:15.680 24/04/1989]',8.346,8.346
'[16:13:15.690 24/04/1989]',13.41,13.41
'[16:13:15.700 24/04/1989]',11.722,11.722
'[16:13:15.710 24/04/1989]',19.13,19.13
'[16:13:15.720 24/04/1989]',17.348,17.348
'[16:13:15.730 24/04/1989]',26.538,26.538
'[16:13:15.740 24/04/1989]',9.471,9.471
'[16:13:15.750 24/04/1989]',18.286,18.286
'[16:13:15.760 24/04/1989]',13.972,13.972
'[16:13:15.770 24/04/1989]',10.69,10.69
'[16:13:15.780 24/04/1989]',7.221,7.221
'[16:13:15.790 24/04/1989]',3.47,3.47
'[16:13:15.800 24/04/1989]',3.47,3.47
'[16:13:15.810 24/04/1989]',2.532,2.532
'[16:13:15.820 24/04/1989]',7.783,7.783
'[16:13:15.830 24/04/1989]',4.126,4.126
'[16:13:15.840 24/04/1989]',-6.658,6.658
'[16:13:15.850 24/04/1989]',-7.221,7.221
'[16:13:15.860 24/04/1989]',-10.784,10.784
'[16:13:15.870 24/04/1989]',-3.47,3.47
'[16:13:15.880 24/04/1989]',-0.844,0.844
'[16:13:15.890 24/04/1989]',-4.22,4.22
'[16:13:15.900 24/04/1989]',1.219,1.219
'[16:13:15.910 24/04/1989]',-2.344,2.344
'[16:13:15.920 24/04/1989]',2.626,2.626
'[16:13:15.930 24/04/1989]',-9.659,9.659
'[16:13:15.940 24/04/1989]',-4.032,4.032
'[16:13:15.950 24/04/1989]',-4.689,4.689
'[16:13:15.960 24/04/1989]',1.5,1.5
'[16:13:15.970 24/04/1989]',1.688,1.688
'[16:13:15.980 24/04/1989]',-0.938,0.938
'[16:13:15.990 24/04/1989]',-5.908,5.908
'[16:13:16.000 24/04/1989]',7.127,7.127
'[16:13:16.010 24/04/1989]',7.408,7.408
'[16:13:16.020 24/04/1989]',4.595,4.595
'[16:13:16.030 24/04/1989]',0,0
'[16:13:16.040 24/04/1989]',-0.188,0.188
'[16:13:16.050 24/04/1989]',5.908,5.908
'[16:13:16.060 24/04/1989]',-7.314,7.314
'[16:13:16.070 24/04/1989]',-2.438,2.438
'[16:13:16.080 24/04/1989]',-13.503,13.503
'[16:13:16.090 24/04/1989]',-1.219,1.219
'[16:13:16.100 24/04/1989]',-0.844,0.844
'[16:13:16.110 24/04/1989]',-2.813,2.813
'[16:13:16.120 24/04/1989]',1.407,1.407
'[16:13:16.130 24/04/1989]',5.064,5.064
'[16:13:16.140 24/04/1989]',1.782,1.782
'[16:13:16.150 24/04/1989]',12.378,12.378
'[16:13:16.160 24/04/1989]',17.629,17.629
'[16:13:16.170 24/04/1989]',8.627,8.627
'[16:13:16.180 24/04/1989]',3.657,3.657
'[16:13:16.190 24/04/1989]',9.94,9.94
'[16:13:16.200 24/04/1989]',4.22,4.22
'[16:13:16.210 24/04/1989]',3.188,3.188
'[16:13:16.220 24/04/1989]',-5.908,5.908
'[16:13:16.230 24/04/1989]',-3.001,3.001
'[16:13:16.240 24/04/1989]',-12.097,12.097
'[16:13:16.250 24/04/1989]',-10.034,10.034
'[16:13:16.260 24/04/1989]',-20.911,20.911
'[16:13:16.270 24/04/1989]',-15.004,15.004
'[16:13:16.280 24/04/1989]',-12.753,12.753
'[16:13:16.290 24/04/1989]',-18.473,18.473
'[16:13:16.300 24/04/1989]',-13.972,13.972
'[16:13:16.310 24/04/1989]',-7.033,7.033
'[16:13:16.320 24/04/1989]',-8.627,8.627
'[16:13:16.330 24/04/1989]',-4.689,4.689
'[16:13:16.340 24/04/1989]',-12.941,12.941
'[16:13:16.350 24/04/1989]',-1.782,1.782
'[16:13:16.360 24/04/1989]',-22.224,22.224
'[16:13:16.370 24/04/1989]',-15.285,15.285
'[16:13:16.380 24/04/1989]',-14.722,14.722
'[16:13:16.390 24/04/1989]',-17.817,17.817
'[16:13:16.400 24/04/1989]',-18.098,18.098
'[16:13:16.410 24/04/1989]',-19.88,19.88
'[16:13:16.420 24/04/1989]',-28.038,28.038
'[16:13:16.430 24/04/1989]',-20.911,20.911
'[16:13:16.440 24/04/1989]',-17.442,17.442
'[16:13:16.450 24/04/1989]',-21.099,21.099
'[16:13:16.460 24/04/1989]',-19.223,19.223
'[16:13:16.470 24/04/1989]',-17.629,17.629
'[16:13:16.480 24/04/1989]',-18.192,18.192
'[16:13:16.490 24/04/1989]',-15.097,15.097
'[16:13:16.500 24/04/1989]',-23.912,23.912
'[16:13:16.510 24/04/1989]',-21.193,21.193
'[16:13:16.520 24/04/1989]',-20.63,20.63
'[16:13:16.530 24/04/1989]',-15.754,15.754
'[16:13:16.540 24/04/1989]',-19.599,19.599
'[16:13:16.550 24/04/1989]',-15.66,15.66
'[16:13:16.560 24/04/1989]',-13.597,13.597
'[16:13:16.570 24/04/1989]',-12.659,12.659
'[16:13:16.580 24/04/1989]',-3.001,3.001
'[16:13:16.590 24/04/1989]',-5.251,5.251
'[16:13:16.600 24/04/1989]',-2.438,2.438
'[16:13:16.610 24/04/1989]',-9.846,9.846
'[16:13:16.620 24/04/1989]',0.656,0.656
'[16:13:16.630 24/04/1989]',-6.845,6.845
'[16:13:16.640 24/04/1989]',-3.095,3.095
'[16:13:16.650 24/04/1989]',-4.032,4.032
'[16:13:16.660 24/04/1989]',-3.751,3.751
'[16:13:16.670 24/04/1989]',5.251,5.251
'[16:13:16.680 24/04/1989]',-4.501,4.501
'[16:13:16.690 24/04/1989]',0.375,0.375
'[16:13:16.700 24/04/1989]',-0.188,0.188
'[16:13:16.710 24/04/1989]',-0.938,0.938
'[16:13:16.720 24/04/1989]',5.908,5.908
'[16:13:16.730 24/04/1989]',-0.656,0.656
'[16:13:16.740 24/04/1989]',-5.72,5.72
'[16:13:16.750 24/04/1989]',-12.097,12.097
'[16:13:16.760 24/04/1989]',-11.909,11.909
'[16:13:16.770 24/04/1989]',-13.785,13.785
'[16:13:16.780 24/04/1989]',-15.754,15.754
'[16:13:16.790 24/04/1989]',-8.346,8.346
'[16:13:16.800 24/04/1989]',1.219,1.219
'[16:13:16.810 24/04/1989]',-14.441,14.441
'[16:13:16.820 24/04/1989]',-4.407,4.407
'[16:13:16.830 24/04/1989]',-4.782,4.782
'[16:13:16.840 24/04/1989]',-1.875,1.875
'[16:13:16.850 24/04/1989]',2.251,2.251
'[16:13:16.860 24/04/1989]',4.501,4.501
'[16:13:16.870 24/04/1989]',4.501,4.501
'[16:13:16.880 24/04/1989]',6.658,6.658
'[16:13:16.890 24/04/1989]',4.407,4.407
